Mach,CD Power-Off
12.72,0.216063497
12.73,0.21605472
12.74,0.216045982
12.75,0.216037239
12.76,0.216028519
12.77,0.216019822
12.78,0.216011143
12.79,0.21600247
12.8,0.215993819
12.81,0.21598518
12.82,0.215976573
12.83,0.215967968
12.84,0.215959376
12.85,0.215950805
12.86,0.215942257
12.87,0.21593373
12.88,0.215925204
12.89,0.215916701
12.9,0.21590821
12.91,0.21589974
12.92,0.215891277
12.93,0.215882841
12.94,0.215874417
12.95,0.215865999
12.96,0.215857608
12.97,0.215849213
12.98,0.215840855
12.99,0.215832519
13,0.215824203
13.01,0.215815875
13.02,0.215807567
13.03,0.215799287
13.04,0.215791012
13.05,0.215782764
13.06,0.215774522
13.07,0.215766308
13.08,0.215758099
13.09,0.21574989
13.1,0.215741713
13.11,0.215733563
13.12,0.215725409
13.13,0.215717275
13.14,0.215709154
13.15,0.215701052
13.16,0.215692962
13.17,0.215684898
13.18,0.215676824
13.19,0.215668778
13.2,0.215660767
13.21,0.215652762
13.22,0.215644742
13.23,0.215636758
13.24,0.215628785
13.25,0.215620834
13.26,0.215612892
13.27,0.215604966
13.28,0.215597056
13.29,0.215589157
13.3,0.215581279
13.31,0.215573411
13.32,0.215565548
13.33,0.215557711
13.34,0.215549895
13.35,0.215542064
13.36,0.215534279
13.37,0.215526479
13.38,0.215518724
13.39,0.215510966
13.4,0.215503232
13.41,0.215495494
13.42,0.215487791
13.43,0.215480083
13.44,0.215472396
13.45,0.215464723
13.46,0.215457066
13.47,0.215449409
13.48,0.215441782
13.49,0.215434181
13.5,0.215426574
13.51,0.215418979
13.52,0.215411392
13.53,0.215403826
13.54,0.215396296
13.55,0.215388759
13.56,0.215381232
13.57,0.215373711
13.58,0.21536623
13.59,0.215358743
13.6,0.215351277
13.61,0.21534383
13.62,0.215336368
13.63,0.21532894
13.64,0.215321523
13.65,0.215314126
13.66,0.215306738
13.67,0.21529937
13.68,0.215291986
13.69,0.215284638
13.7,0.215277309
13.71,0.215269989
13.72,0.215262663
13.73,0.215255373
13.74,0.215248076
13.75,0.215240805
13.76,0.215233553
13.77,0.215226295
13.78,0.215219072
13.79,0.215211834
13.8,0.215204629
13.81,0.215197428
13.82,0.215190254
13.83,0.215183082
13.84,0.215175925
13.85,0.215168772
13.86,0.215161644
13.87,0.21515452
13.88,0.215147414
13.89,0.215140308
13.9,0.215133227
13.91,0.21512616
13.92,0.21511909
13.93,0.215112031
13.94,0.215105001
13.95,0.215097995
13.96,0.215090957
13.97,0.215083969
